*******************************************************************************
JPL/HORIZONS                     (2020 UF7)                2025-Sep-17 16:42:11
Rec #:50463650 (+COV) Soln.date: 2021-Apr-15_23:13:46    # obs: 121 (2020-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459188.5 ! 2020-Dec-05.00 (TDB)         Residual RMS= .18348
   EC= .09358389339599324  QR= 1.018060132471913   TP= 2459227.6366210692
   OM= 171.2368974997747   W=  297.6999851744899   IN= 1.97015518299384
   A= 1.123170831866827    MA= 327.5945037570424   ADIST= 1.228281531261741
   PER= 1.19036            N= .828009556           ANGMOM= .018150735
   DAN= 1.06692            DDN= 1.16397            L= 108.9508286
   B= -1.7442888           MOID= .0445109          TP= 2021-Jan-13.1366210692
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.74                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#26, OCC=3
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:42:11 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 UF7)                      {source: JPL#26}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459188.5 ! 2020-Dec-05.00 (TDB)         Residual RMS= .18348        
   EC= .09358389339599324  QR= 1.018060132471913   TP= 2459227.6366210692      
   OM= 171.2368974997747   W=  297.6999851744899   IN= 1.97015518299384        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.518851120035434E-01  Y= 9.089331920503839E-01  Z= 3.559130527713347E-01
  VX=-1.677975952293990E-02 VY= 4.651420383425420E-03 VZ= 1.925958555364170E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.74                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 149.501548392,  11.730615748,  1.96535432818629,  1.0927498,
2460558.531250000, , , 149.531000417,  11.720565797,  1.96537363042660,  1.0443096,
2460558.562500000, , , 149.560479511,  11.710519035,  1.96539195907309,  0.9852107,
2460558.593750000, , , 149.589979251,  11.700476470,  1.96540914193185,  0.9177499,
2460558.625000000, , , 149.619492318,  11.690438842,  1.96542505130782,  0.8445458,
2460558.656250000, , , 149.649010779,  11.680406587,  1.96543960891565,  0.7684377,
2460558.687500000, , , 149.678526393,  11.670379833,  1.96545278889186,  0.6923767,
2460558.718750000, , , 149.708030924,  11.660358385,  1.96546461879249,  0.6193125,
2460558.750000000, , , 149.737516463,  11.650341739,  1.96547517853768,  0.5520795,
2460558.781250000, , , 149.766975726,  11.640329102,  1.96548459734369,  0.4932886,
2460558.812500000, , , 149.796402341,  11.630319419,  1.96549304875994,  0.4452259,
2460558.843750000, , , 149.825791085,  11.620311419,  1.96550074400162,  0.4097659,
2460558.875000000, , , 149.855138092,  11.610303662,  1.96550792383394,  0.3882982,
2460558.906250000,A, , 149.884440996,  11.600294593,  1.96551484931956,  0.3816752,
2460558.937500000,C, , 149.913699024,  11.590282607,  1.96552179178483,  0.3901783,
2460558.968750000,*, , 149.942913028,  11.580266103,  1.96552902239035,  0.4135077,
2460559.000000000,*, , 149.972085447,  11.570243556,  1.96553680170661,  0.4507935,
2460559.031250000,*,m, 150.001220219,  11.560213565,  1.96554536969566,  0.5006291,
2460559.062500000,*,m, 150.030322624,  11.550174916,  1.96555493648387,  0.5611254,
2460559.093750000,*,m, 150.059399086,  11.540126619,  1.96556567428086,  0.6299833,
2460559.125000000,*,m, 150.088456924,  11.530067957,  1.96557771075532,  0.7045819,
2460559.156250000,*,m, 150.117504068,  11.519998501,  1.96559112412288,  0.7820795,
2460559.187500000,*,m, 150.146548757,  11.509918138,  1.96560594013486,  0.8595225,
2460559.218750000,*,m, 150.175599225,  11.499827065,  1.96562213108408,  0.9339595,
2460559.250000000,*,m, 150.204663377,  11.489725786,  1.96563961686612,  1.0025541,
2460559.281250000,*,m, 150.233748491,  11.479615093,  1.96565826805522,  1.0626947,
2460559.312500000,*,m, 150.262860936,  11.469496032,  1.96567791087676,  1.1120942,
2460559.343750000,*,m, 150.292005930,  11.459369865,  1.96569833388509,  1.1488784,
2460559.375000000,*,m, 150.321187335,  11.449238019,  1.96571929609008,  1.1716580,
2460559.406250000,*,m, 150.350407511,  11.439102033,  1.96574053621965,  1.1795821,
2460559.437500000,*,m, 150.379667229,  11.428963498,  1.96576178276254,  1.1723706,
2460559.468750000,N,m, 150.408965634,  11.418823997,  1.96578276440493,  1.1503253,
2460559.500000000, ,m, 150.438300286,  11.408685042,  1.96580322045971,  1.1143182,
2460559.531250000, ,m, 150.467667249,  11.398548017,  1.96582291088779,  1.0657582,
2460559.562500000, , , 150.497061242,  11.388414128,  1.96584162552588,  1.0065364,
2460559.593750000, , , 150.526475848,  11.378284352,  1.96585919216643,  0.9389543,
2460559.625000000, , , 150.555903753,  11.368159405,  1.96587548317903,  0.8656345,
2460559.656250000, , , 150.585337034,  11.358039712,  1.96589042041881,  0.7894206,
2460559.687500000, , , 150.614767460,  11.347925392,  1.96590397823321,  0.7132672,
2460559.718750000, , , 150.644186807,  11.337816256,  1.96591618445147,  0.6401273,
2460559.750000000, , , 150.673587179,  11.327711811,  1.96592711931869,  0.5728379,
2460559.781250000, , , 150.702961306,  11.317611284,  1.96593691241523,  0.5140115,
2460559.812500000, , , 150.732302827,  11.307513648,  1.96594573767965,  0.4659354,
2460559.843750000, , , 150.761606535,  11.297417668,  1.96595380672627,  0.4304839,
