*******************************************************************************
JPL/HORIZONS                      (2022 AD)                2025-Sep-17 16:41:17
Rec #:50514322 (+COV) Soln.date: 2023-Jan-26_07:54:45    # obs: 101 (2021-2023)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459605.5 ! 2022-Jan-26.00 (TDB)         Residual RMS= .20232
   EC= .05868111003251806  QR= .9287915150262944   TP= 2459766.7224693573
   OM= 109.9515704094282   W=  177.649870549238    IN= 12.84834358302581
   A= .9866916779481391    MA= 197.872216731332    ADIST= 1.044591840869984
   PER= .98012             N= 1.005615309          ANGMOM= .017057805
   DAN= 1.04454            DDN= .92883             L= 287.6602198
   B= .5224618             MOID= .0611941          TP= 2022-Jul-06.2224693573
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.33                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#18, OCC=1
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:41:18 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2022 AD)                       {source: JPL#18}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459605.5 ! 2022-Jan-26.00 (TDB)         Residual RMS= .20232        
   EC= .05868111003251806  QR= .9287915150262944   TP= 2459766.7224693573      
   OM= 109.9515704094282   W=  177.649870549238    IN= 12.84834358302581       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-5.700923984670121E-01  Y= 7.771165429222631E-01  Z= 3.962851220575707E-01
  VX=-1.311512695201307E-02 VY=-9.790082650227532E-03 VZ=-4.042636435641794E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.33                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m,  92.902852455,  -0.603341193,  0.52726215298630,  2.7015183,
2460558.531250000, , ,  92.928231138,  -0.604545201,  0.52731016868485,  2.6200340,
2460558.562500000, , ,  92.953576321,  -0.605750170,  0.52735673795775,  2.5417155,
2460558.593750000, , ,  92.978859155,  -0.606956083,  0.52740194428997,  2.4694537,
2460558.625000000, , ,  93.004053131,  -0.608162859,  0.52744592139802,  2.4059065,
2460558.656250000, , ,  93.029135088,  -0.609370353,  0.52748884808895,  2.3533969,
2460558.687500000, , ,  93.054086114,  -0.610578367,  0.52753094138522,  2.3138235,
2460558.718750000, , ,  93.078892263,  -0.611786652,  0.52757244817946,  2.2885875,
2460558.750000000, , ,  93.103545100,  -0.612994922,  0.52761363573916,  2.2785384,
2460558.781250000, , ,  93.128042018,  -0.614202859,  0.52765478142647,  2.2839417,
2460558.812500000, , ,  93.152386343,  -0.615410133,  0.52769616202791,  2.3044683,
2460558.843750000, , ,  93.176587206,  -0.616616408,  0.52773804310453,  2.3392073,
2460558.875000000, , ,  93.200659186,  -0.617821360,  0.52778066877242,  2.3867006,
2460558.906250000,A, ,  93.224621758,  -0.619024685,  0.52782425230696,  2.4449994,
2460558.937500000,C, ,  93.248498533,  -0.620226114,  0.52786896793307,  2.5117388,
2460558.968750000,*, ,  93.272316359,  -0.621425425,  0.52791494411774,  2.5842290,
2460559.000000000,*, ,  93.296104277,  -0.622622447,  0.52796225862364,  2.6595585,
2460559.031250000,*,m,  93.319892412,  -0.623817070,  0.52801093551476,  2.7347069,
2460559.062500000,*,m,  93.343710807,  -0.625009251,  0.52806094422942,  2.8066605,
2460559.093750000,*,m,  93.367588269,  -0.626199012,  0.52811220075656,  2.8725284,
2460559.125000000,*,m,  93.391551260,  -0.627386443,  0.52816457086994,  2.9296544,
2460559.156250000,*,m,  93.415622878,  -0.628571695,  0.52821787529538,  2.9757185,
2460559.187500000,*,m,  93.439821971,  -0.629754979,  0.52827189661166,  3.0088267,
2460559.218750000,*,m,  93.464162412,  -0.630936554,  0.52832638761902,  3.0275835,
2460559.250000000,*,m,  93.488652566,  -0.632116720,  0.52838108085258,  3.0311456,
2460559.281250000,*,m,  93.513294973,  -0.633295804,  0.52843569887423,  3.0192547,
2460559.312500000,*,m,  93.538086247,  -0.634474150,  0.52848996494652,  2.9922465,
2460559.343750000,*,m,  93.563017213,  -0.635652104,  0.52854361367805,  2.9510385,
2460559.375000000,*,m,  93.588073263,  -0.636830001,  0.52859640123063,  2.8970942,
2460559.406250000,*,m,  93.613234913,  -0.638008152,  0.52864811469626,  2.8323669,
2460559.437500000,*,m,  93.638478559,  -0.639186834,  0.52869858028341,  2.7592244,
2460559.468750000,N,m,  93.663777386,  -0.640366276,  0.52874766999863,  2.6803580,
2460559.500000000, ,m,  93.689102394,  -0.641546650,  0.52879530656667,  2.5986791,
2460559.531250000, ,m,  93.714423521,  -0.642728068,  0.52884146640089,  2.5172072,
2460559.562500000, , ,  93.739710792,  -0.643910574,  0.52888618050958,  2.4389537,
2460559.593750000, , ,  93.764935476,  -0.645094143,  0.52892953330360,  2.3668063,
2460559.625000000, , ,  93.790071185,  -0.646278682,  0.52897165935114,  2.3034182,
2460559.656250000, , ,  93.815094896,  -0.647464033,  0.52901273820395,  2.2511055,
2460559.687500000, , ,  93.839987828,  -0.648649980,  0.52905298749356,  2.2117585,
2460559.718750000, , ,  93.864736170,  -0.649836256,  0.52909265456242,  2.1867689,
2460559.750000000, , ,  93.889331608,  -0.651022553,  0.52913200695131,  2.1769763,
2460559.781250000, , ,  93.913771648,  -0.652208536,  0.52917132210844,  2.1826356,
