*******************************************************************************
JPL/HORIZONS                     (2022 DZ2)                2025-Sep-17 16:41:40
Rec #:50518502 (+COV) Soln.date: 2022-Mar-29_05:57:18       # obs: 40 (30 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459642.5 ! 2022-Mar-04.00 (TDB)         Residual RMS= .23327
   EC= .2563186160587452   QR= .9333736820231618   TP= 2459584.6759441001
   OM= 114.1772565703792   W=  346.8990130297234   IN= 6.844928911773643
   A= 1.255072000157653    MA= 40.53308536359121   ADIST= 1.576770318292143
   PER= 1.40608            N= .700972713           ANGMOM= .018627695
   DAN= .93836             DDN= 1.56275            L= 101.1664608
   B= -1.5480273           MOID= .0408943          TP= 2022-Jan-05.1759441001
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.1                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#6, OCC=7
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:41:40 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2022 DZ2)                      {source: JPL#6}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459642.5 ! 2022-Mar-04.00 (TDB)         Residual RMS= .23327        
   EC= .2563186160587452   QR= .9333736820231618   TP= 2459584.6759441001      
   OM= 114.1772565703792   W=  346.8990130297234   IN= 6.844928911773643       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.020590861978429E+00  Y= 1.981663914120809E-01  Z= 1.938567925354462E-01
  VX=-7.759092998336150E-03 VY=-1.547422599388975E-02 VZ=-4.917221081755579E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.1                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 100.783237409,  16.229132977,  1.00089819488729, -2.7700607,
2460558.531250000, , , 100.820515420,  16.227948684,  1.00084758002304, -2.8392473,
2460558.562500000, , , 100.857789542,  16.226780501,  1.00079572123962, -2.9074313,
2460558.593750000, , , 100.895043449,  16.225627654,  1.00074266256282, -2.9717546,
2460558.625000000, , , 100.932261658,  16.224488533,  1.00068849842312, -3.0295072,
2460558.656250000, , , 100.969430126,  16.223360755,  1.00063337003262, -3.0782313,
2460558.687500000, , , 101.006536788,  16.222241252,  1.00057745996669, -3.1158155,
2460558.718750000, , , 101.043572022,  16.221126391,  1.00052098515784, -3.1405759,
2460558.750000000, , , 101.080529016,  16.220012113,  1.00046418857049, -3.1513208,
2460558.781250000, , , 101.117404028,  16.218894089,  1.00040732987590, -3.1473964,
2460558.812500000, , , 101.154196538,  16.217767885,  1.00035067548504, -3.1287119,
2460558.843750000, , , 101.190909256,  16.216629135,  1.00029448832176, -3.0957434,
2460558.875000000, , , 101.227548031,  16.215473704,  1.00023901772890, -3.0495150,
2460558.906250000,A, , 101.264121618,  16.214297852,  1.00018448989493, -2.9915603,
2460558.937500000,C, , 101.300641344,  16.213098373,  1.00013109916876, -2.9238631,
2460558.968750000,*, , 101.337120675,  16.211872721,  1.00007900059658, -2.8487811,
2460559.000000000,*, , 101.373574698,  16.210619109,  1.00002830396747, -2.7689559,
2460559.031250000,*,m, 101.410019540,  16.209336572,  0.99997906959651, -2.6872111,
2460559.062500000,*,m, 101.446471752,  16.208025012,  0.99993130600796, -2.6064442,
2460559.093750000,*,m, 101.482947668,  16.206685193,  0.99988496960720, -2.5295152,
2460559.125000000,*,m, 101.519462782,  16.205318720,  0.99983996635421, -2.4591366,
2460559.156250000,*,m, 101.556031151,  16.203927970,  0.99979615537442, -2.3977694,
2460559.187500000,*,m, 101.592664853,  16.202516007,  0.99975335436781, -2.3475287,
2460559.218750000,*,m, 101.629373526,  16.201086458,  0.99971134660870, -2.3101023,
2460559.250000000,*,m, 101.666163997,  16.199643380,  0.99966988926697, -2.2866860,
2460559.281250000,*,m, 101.703040016,  16.198191097,  0.99962872273104, -2.2779379,
2460559.312500000,*,m, 101.740002117,  16.196734041,  0.99958758057461, -2.2839527,
2460559.343750000,*,m, 101.777047595,  16.195276576,  0.99954619978429, -2.3042586,
2460559.375000000,*,m, 101.814170608,  16.193822836,  0.99950433085546, -2.3378352,
2460559.406250000,*,m, 101.851362405,  16.192376561,  0.99946174736912, -2.3831527,
2460559.437500000,*,m, 101.888611655,  16.190940957,  0.99941825468197, -2.4382308,
2460559.468750000,N,m, 101.925904891,  16.189518571,  0.99937369739678, -2.5007145,
2460559.500000000, ,m, 101.963227016,  16.188111197,  0.99932796532620, -2.5679645,
2460559.531250000, ,m, 102.000561891,  16.186719802,  0.99928099772168, -2.6371588,
2460559.562500000, , , 102.037892948,  16.185344493,  0.99923278560515, -2.7054007,
2460559.593750000, , , 102.075203830,  16.183984512,  0.99918337211429, -2.7698297,
2460559.625000000, , , 102.112479013,  16.182638265,  0.99913285084786, -2.8277321,
2460559.656250000, , , 102.149704408,  16.181303381,  0.99908136227470, -2.8766441,
2460559.687500000, , , 102.186867896,  16.179976807,  0.99902908834399, -2.9144472,
2460559.718750000, , , 102.223959796,  16.178654922,  0.99897624550320, -2.9394491,
2460559.750000000, , , 102.260973236,  16.177333679,  0.99892307639162, -2.9504488,
2460559.781250000, , , 102.297904420,  16.176008757,  0.99886984052781, -2.9467827,
2460559.812500000, , , 102.334752767,  16.174675727,  0.99881680434844, -2.9283501,
2460559.843750000, , , 102.371520939,  16.173330227,  0.99876423098047, -2.8956174,
