*******************************************************************************
JPL/HORIZONS                     (2022 QV1)                2025-Sep-13 11:13:20
Rec #:50547492 (+COV) Soln.date: 2022-Sep-30_05:53:26       # obs: 48 (40 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459830.5 ! 2022-Sep-08.00 (TDB)         Residual RMS= .1292
   EC= .3176849778331746   QR= 1.10798203124171    TP= 2459850.6575221885
   OM= 157.1129923199717   W=  205.3757710096301   IN= 7.173417207353369
   A= 1.623857009220016    MA= 350.3989320343066   ADIST= 2.139731987198322
   PER= 2.06933            N= .476301992           ANGMOM= .020785171
   DAN= 2.04774            DDN= 1.13437            L= 2.3148646
   B= -3.0676305           MOID= .11192            TP= 2022-Sep-28.1575221885
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.03                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#10, OCC=5
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Sep 13 11:13:21 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2022 QV1)                      {source: JPL#10}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250912.p251208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-12. PREDICTS-> 2025-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459830.5 ! 2022-Sep-08.00 (TDB)         Residual RMS= .1292         
   EC= .3176849778331746   QR= 1.10798203124171    TP= 2459850.6575221885      
   OM= 157.1129923199717   W=  205.3757710096301   IN= 7.173417207353369       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.074527049066698E+00  Y=-2.943176253095677E-01  Z=-1.435847242905071E-01
  VX= 3.883503732669716E-03 VY= 1.742992393945008E-02 VZ= 5.073565871941283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.03                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 260.819069637, -17.586969751,  0.50114667131913,  0.9319520,
2460558.531250000, , , 260.834809884, -17.595938312,  0.50116413526643,  1.0023280,
2460558.562500000, , , 260.850633270, -17.604861009,  0.50118281947532,  1.0667179,
2460558.593750000, , , 260.866568922, -17.613742605,  0.50120259272410,  1.1226012,
2460558.625000000, , , 260.882642179, -17.622589419,  0.50122328112165,  1.1677856,
2460558.656250000, , , 260.898873618, -17.631409080,  0.50124467481513,  1.2004916,
2460558.687500000, , , 260.915278257, -17.640210230,  0.50126653608210,  1.2194206,
2460558.718750000, , , 260.931864985, -17.649002198,  0.50128860849474,  1.2238053,
2460558.750000000, , , 260.948636212, -17.657794638,  0.50131062680250,  1.2134386,
2460558.781250000, , , 260.965587781, -17.666597152,  0.50133232715184,  1.1886817,
2460558.812500000, , , 260.982709129, -17.675418927,  0.50135345724959,  1.1504503,
2460558.843750000, , , 260.999983695, -17.684268379,  0.50137378607815,  1.1001785,
2460558.875000000, , , 261.017389555, -17.693152824,  0.50139311278905,  1.0397642,
2460558.906250000,A, , 261.034900272, -17.702078198,  0.50141127443268,  0.9714952,
2460558.937500000,C, , 261.052485909, -17.711048830,  0.50142815222735,  0.8979619,
2460558.968750000,*, , 261.070114185, -17.720067269,  0.50144367612676,  0.8219566,
2460559.000000000,*, , 261.087751714, -17.729134186,  0.50145782751083,  0.7463666,
2460559.031250000,*,m, 261.105365296, -17.738248349,  0.50147063989666,  0.6740631,
2460559.062500000,*,m, 261.122923187, -17.747406664,  0.50148219764256,  0.6077902,
2460559.093750000,*,m, 261.140396327, -17.756604294,  0.50149263269515,  0.5500596,
2460559.125000000,*,m, 261.157759456, -17.765834845,  0.50150211950475,  0.5030539,
2460559.156250000,*,m, 261.174992090, -17.775090608,  0.50151086830438,  0.4685426,
2460559.187500000,*,m, 261.192079305, -17.784362854,  0.50151911701116,  0.4478139,
2460559.218750000,*,m, 261.209012320, -17.793642172,  0.50152712206129,  0.4416249,
2460559.250000000,*,m, 261.225788831, -17.802918828,  0.50153514853156,  0.4501727,
2460559.281250000,*,m, 261.242413103, -17.812183139,  0.50154345992745,  0.4730867,
2460559.312500000,*,m, 261.258895807, -17.821425850,  0.50155230803140,  0.5094429,
2460559.343750000,*,m, 261.275253609, -17.830638486,  0.50156192320221,  0.5577990,
2460559.375000000,*,m, 261.291508531, -17.839813684,  0.50157250549985,  0.6162509,
2460559.406250000,*,m, 261.307687102, -17.848945476,  0.50158421697787,  0.6825051,
2460559.437500000,*,m, 261.323819332, -17.858029520,  0.50159717544076,  0.7539680,
2460559.468750000,N,m, 261.339937561, -17.867063273,  0.50161144990743,  0.8278451,
2460559.500000000, ,m, 261.356075211, -17.876046084,  0.50162705795559,  0.9012494,
2460559.531250000, ,m, 261.372265492, -17.884979225,  0.50164396504967,  0.9713123,
2460559.562500000, , , 261.388540129, -17.893865846,  0.50166208587789,  1.0352944,
2460559.593750000, , , 261.404928134, -17.902710847,  0.50168128764656,  1.0906908,
2460559.625000000, , , 261.421454687, -17.911520698,  0.50170139520424,  1.1353283,
2460559.656250000, , , 261.438140171, -17.920303185,  0.50172219779745,  1.1674480,
2460559.687500000, , , 261.454999381, -17.929067113,  0.50174345719698,  1.1857741,
2460559.718750000, , , 261.472040958, -17.937821968,  0.50176491688094,  1.1895621,
2460559.750000000, , , 261.489267053, -17.946577548,  0.50178631192018,  1.1786279,
2460559.781250000, , , 261.506673252, -17.955343589,  0.50180737918493,  1.1533544,
2460559.812500000, , , 261.524248741, -17.964129387,  0.50182786747939,  1.1146767,
2460559.843750000, , , 261.541976722, -17.972943442,  0.50184754721392,  1.0640459,
