*******************************************************************************
JPL/HORIZONS                     (2024 SD3)                2025-Sep-17 16:41:05
Rec #:50593994 (+COV) Soln.date: 2024-Oct-03_06:52:22        # obs: 22 (5 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460580.5 ! 2024-Sep-27.00 (TDB)         Residual RMS= .16765
   EC= .6998407711467929   QR= .699715985013434    TP= 2460630.8255206905
   OM= 11.97043372746525   W=  72.21413213371193   IN= 6.988736800901531
   A= 2.331149329263603    MA= 346.064029797228    ADIST= 3.962582673513772
   PER= 3.55929            N= .276916563           ANGMOM= .018760589
   DAN= .97992             DDN= 1.5128             L= 84.05990610000001
   B= 6.6531605            MOID= .00445184         TP= 2024-Nov-16.3255206905
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 26.04                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#5, OCC=8
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:41:05 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2024 SD3)                      {source: JPL#5}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460580.5 ! 2024-Sep-27.00 (TDB)         Residual RMS= .16765        
   EC= .6998407711467929   QR= .699715985013434    TP= 2460630.8255206905      
   OM= 11.97043372746525   W=  72.21413213371193   IN= 6.988736800901531       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.067900781495887E+00  Y= 6.637344314564328E-02  Z= 7.534249902715243E-03
  VX=-1.187731606779625E-02 VY= 1.442832957818752E-02 VZ= 8.770831258424571E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 26.04                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m,   4.954680057, -11.351930944,  0.32024343495440,-21.7248944,
2460558.531250000, , ,   4.955567533, -11.354864752,  0.31985139941350,-21.7133923,
2460558.562500000, , ,   4.956190048, -11.357795439,  0.31945970787167,-21.6868602,
2460558.593750000, , ,   4.956560298, -11.360713533,  0.31906862526496,-21.6460960,
2460558.625000000, , ,   4.956700470, -11.363610201,  0.31867839710118,-21.5924475,
2460558.656250000, , ,   4.956641413, -11.366477586,  0.31828923996805,-21.5277611,
2460558.687500000, , ,   4.956421463, -11.369309120,  0.31790133315746,-21.4543100,
2460558.718750000, , ,   4.956084977, -11.372099783,  0.31751481173037,-21.3747061,
2460558.750000000, , ,   4.955680634, -11.374846297,  0.31712976129170,-21.2917999,
2460558.781250000, , ,   4.955259560, -11.377547264,  0.31674621467745,-21.2085694,
2460558.812500000, , ,   4.954873350, -11.380203227,  0.31636415068316,-21.1280052,
2460558.843750000, , ,   4.954572076, -11.382816648,  0.31598349488285,-21.0529950,
2460558.875000000, , ,   4.954402340, -11.385391825,  0.31560412250658,-20.9862117,
2460558.906250000,A, ,   4.954405462, -11.387934728,  0.31522586326522,-20.9300100,
2460558.937500000,C, ,   4.954615869, -11.390452773,  0.31484850793460,-20.8863354,
2460558.968750000,*, ,   4.955059747, -11.392954539,  0.31447181644425,-20.8566495,
2460559.000000000,*, ,   4.955754004, -11.395449438,  0.31409552715664,-20.8418729,
2460559.031250000,*,m,   4.956705605, -11.397947354,  0.31371936697759,-20.8423503,
2460559.062500000,*,m,   4.957911271, -11.400458264,  0.31334306190686,-20.8578372,
2460559.093750000,*,m,   4.959357586, -11.402991849,  0.31296634762056,-20.8875093,
2460559.125000000,*,m,   4.961021495, -11.405557123,  0.31258897967710,-20.9299948,
2460559.156250000,*,m,   4.962871173, -11.408162080,  0.31221074295282,-20.9834275,
2460559.187500000,*,m,   4.964867229, -11.410813385,  0.31183145994344,-21.0455185,
2460559.218750000,*,m,   4.966964217, -11.413516115,  0.31145099761214,-21.1136451,
2460559.250000000,*,m,   4.969112375, -11.416273553,  0.31106927252030,-21.1849520,
2460559.281250000,*,m,   4.971259531, -11.419087065,  0.31068625404406,-21.2564611,
2460559.312500000,*,m,   4.973353118, -11.421956033,  0.31030196555279,-21.3251869,
2460559.343750000,*,m,   4.975342202, -11.424877881,  0.30991648350457,-21.3882512,
2460559.375000000,*,m,   4.977179448, -11.427848162,  0.30952993449307,-21.4429946,
2460559.406250000,*,m,   4.978822964, -11.430860732,  0.30914249035979,-21.4870789,
2460559.437500000,*,m,   4.980237929, -11.433907973,  0.30875436155938,-21.5185774,
2460559.468750000,N,m,   4.981397960, -11.436981090,  0.30836578903332,-21.5360497,
2460559.500000000, ,m,   4.982286155, -11.440070446,  0.30797703490503,-21.5385966,
2460559.531250000, ,m,   4.982895769, -11.443165929,  0.30758837235463,-21.5258961,
2460559.562500000, , ,   4.983230507, -11.446257344,  0.30720007506432,-21.4982148,
2460559.593750000, , ,   4.983304406, -11.449334809,  0.30681240664133,-21.4563988,
2460559.625000000, , ,   4.983141322, -11.452389135,  0.30642561042797,-21.4018405,
2460559.656250000, , ,   4.982774035, -11.455412189,  0.30603990009223,-21.3364249,
2460559.687500000, , ,   4.982242998, -11.458397211,  0.30565545136410,-21.2624572,
2460559.718750000, , ,   4.981594798, -11.461339080,  0.30527239523737,-21.1825734,
2460559.750000000, , ,   4.980880364, -11.464234519,  0.30489081290110,-21.0996384,
2460559.781250000, , ,   4.980153006, -11.467082227,  0.30451073259708,-21.0166354,
2460559.812500000, , ,   4.979466353, -11.469882939,  0.30413212852580,-20.9365500,
