*******************************************************************************
JPL/HORIZONS                     (2024 SH7)                2025-Sep-17 16:40:47
Rec #:50594093 (+COV) Soln.date: 2024-Oct-03_06:52:26        # obs: 39 (2 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460584.5 ! 2024-Oct-01.00 (TDB)         Residual RMS= .47561
   EC= .3600832908203003   QR= 1.017654154919742   TP= 2460595.0499859117
   OM= 188.5881893351531   W=  191.1982611418899   IN= 17.56296487704837
   A= 1.590291580640641    MA= 354.815094873951    ADIST= 2.16292900636154
   PER= 2.0055             N= .491460858           ANGMOM= .020237847
   DAN= 2.14               DDN= 1.02281            L= 19.2767632
   B= -3.3595692           MOID= .021605           TP= 2024-Oct-11.5499859117
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 27.31                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#3, OCC=7
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:40:48 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2024 SH7)                      {source: JPL#3}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460584.5 ! 2024-Oct-01.00 (TDB)         Residual RMS= .47561        
   EC= .3600832908203003   QR= 1.017654154919742   TP= 2460595.0499859117      
   OM= 188.5881893351531   W=  191.1982611418899   IN= 17.56296487704837       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.013274395621910E+00  Y= 1.301704033367190E-01  Z= 5.978525915411807E-02
  VX=-3.684064932748442E-03 VY= 1.936761348541968E-02 VZ= 1.889471871439953E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.31                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 300.314540879,  49.473451104,  0.16671064637175,-10.3039788,
2460558.531250000, , , 300.317434459,  49.475632392,  0.16652508650028,-10.2569854,
2460558.562500000, , , 300.320152232,  49.477446792,  0.16634040185665,-10.2073150,
2460558.593750000, , , 300.322840012,  49.478880271,  0.16615662323859,-10.1569199,
2460558.625000000, , , 300.325646471,  49.479933168,  0.16597374583832,-10.1077805,
2460558.656250000, , , 300.328717384,  49.480620205,  0.16579172943177,-10.0618282,
2460558.687500000, , , 300.332189969,  49.480969948,  0.16561049993686,-10.0208711,
2460558.718750000, , , 300.336187561,  49.481023729,  0.16542995227998, -9.9865241,
2460558.750000000, , , 300.340814808,  49.480834065,  0.16524995445960, -9.9601466,
2460558.781250000, , , 300.346153592,  49.480462643,  0.16507035264893, -9.9427898,
2460558.812500000, , , 300.352259829,  49.479977949,  0.16489097713994, -9.9351566,
2460558.843750000, , , 300.359161270,  49.479452630,  0.16471164889837, -9.9375742,
2460558.875000000, , , 300.366856390,  49.478960693,  0.16453218647601, -9.9499820,
2460558.906250000,A, , 300.375314411,  49.478574648,  0.16435241301337, -9.9719339,
2460558.937500000,C, , 300.384476448,  49.478362707,  0.16417216306226,-10.0026156,
2460558.968750000,*, , 300.394257740,  49.478386149,  0.16399128896572,-10.0408764,
2460559.000000000,*, , 300.404550878,  49.478696945,  0.16380966654956,-10.0852733,
2460559.031250000,*,m, 300.415229906,  49.479335739,  0.16362719990686,-10.1341270,
2460559.062500000,*,m, 300.426155140,  49.480330265,  0.16344382509196,-10.1855869,
2460559.093750000,*,m, 300.437178518,  49.481694247,  0.16325951258200,-10.2377015,
2460559.125000000,*,m, 300.448149283,  49.483426847,  0.16307426841211,-10.2884948,
2460559.156250000,*,m, 300.458919780,  49.485512659,  0.16288813394064,-10.3360414,
2460559.187500000,*,m, 300.469351154,  49.487922267,  0.16270118425363,-10.3785413,
2460559.218750000,*,m, 300.479318714,  49.490613342,  0.16251352526990,-10.4143891,
2460559.250000000,*,m, 300.488716788,  49.493532235,  0.16232528965774,-10.4422357,
2460559.281250000,*,m, 300.497462844,  49.496616016,  0.16213663172025,-10.4610405,
2460559.312500000,*,m, 300.505500753,  49.499794865,  0.16194772144556,-10.4701118,
2460559.343750000,*,m, 300.512803037,  49.502994755,  0.16175873795108,-10.4691331,
2460559.375000000,*,m, 300.519372024,  49.506140291,  0.16156986257382,-10.4581755,
2460559.406250000,*,m, 300.525239854,  49.509157621,  0.16138127187348,-10.4376957,
2460559.437500000,*,m, 300.530467335,  49.511977296,  0.16119313081809,-10.4085174,
2460559.468750000,N,m, 300.535141682,  49.514536970,  0.16100558641548,-10.3718004,
2460559.500000000, ,m, 300.539373218,  49.516783834,  0.16081876203728,-10.3289957,
2460559.531250000, ,m, 300.543291177,  49.518676691,  0.16063275265485,-10.2817891,
2460559.562500000, , , 300.547038741,  49.520187579,  0.16044762117214,-10.2320366,
2460559.593750000, , , 300.550767538,  49.521302892,  0.16026339599750,-10.1816923,
2460559.625000000, , , 300.554631780,  49.522023940,  0.16008006994880,-10.1327330,
2460559.656250000, , , 300.558782295,  49.522366933,  0.15989760053412,-10.0870818,
2460559.687500000, , , 300.563360677,  49.522362383,  0.15971591159724,-10.0465340,
2460559.718750000, , , 300.568493779,  49.522053952,  0.15953489626365,-10.0126871,
2460559.750000000, , , 300.574288784,  49.521496781,  0.15935442107287, -9.9868800,
2460559.781250000, , , 300.580829014,  49.520755378,  0.15917433113640, -9.9701406,
2460559.812500000, , , 300.588170684,  49.519901138,  0.15899445612153, -9.9631467,
