*******************************************************************************
JPL/HORIZONS                   4953 (1990 MU)              2025-Sep-17 16:41:50
Rec #:    4953 (+COV) Soln.date: 2025-Sep-17_06:59:30   # obs: 3341 (1974-2025)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459177.5 ! 2020-Nov-24.00 (TDB)         Residual RMS= .23353
   EC= .657663918054564    QR= .5549770051447236   TP= 2459249.229132893
   OM= 77.70367118335835   W=  77.74935641054505   IN= 24.39072845254713
   A= 1.621146687170358    MA= 325.7495576368868   ADIST= 2.687316369195992
   PER= 2.06415            N= .477496953           ANGMOM= .016499363
   DAN= .80731             DDN= 1.06917            L= 154.2940469
   B= 23.8005137           MOID= .0262989          TP= 2021-Feb-03.7291328930
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= 14.218
   H= 14.88                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#479, PHA  OCC=0       radar( 0 delay, 2 Dop.)
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Sep 17 16:41:51 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 4953 (1990 MU)                  {source: JPL#479}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250917.p251213                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-17. PREDICTS-> 2025-DEC-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459177.5 ! 2020-Nov-24.00 (TDB)         Residual RMS= .23353        
   EC= .657663918054564    QR= .5549770051447236   TP= 2459249.229132893       
   OM= 77.70367118335835   W=  77.74935641054505   IN= 24.39072845254713       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 8.664281102972458E-01  Y= 8.973387258094438E-01  Z= 5.982946108046250E-02
  VX=-1.538020882540010E-02 VY=-6.828426275195740E-04 VZ= 7.373321225944042E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 14.218              
   H= 14.88                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m,  33.976055450, -26.644638499,  1.47061169255266,-20.2675227,
2460558.531250000, , ,  33.972670417, -26.653287918,  1.47024568319282,-20.2882636,
2460558.562500000, , ,  33.969215850, -26.661947963,  1.46987941695628,-20.2958371,
2460558.593750000, , ,  33.965688810, -26.670613891,  1.46951313803916,-20.2896058,
2460558.625000000, , ,  33.962088741, -26.679280815,  1.46914709735051,-20.2694658,
2460558.656250000, , ,  33.958417491, -26.687943887,  1.46878154281512,-20.2358505,
2460558.687500000, , ,  33.954679241, -26.696598494,  1.46841670979270,-20.1897143,
2460558.718750000, , ,  33.950880346, -26.705240427,  1.46805281198350,-20.1324952,
2460558.750000000, , ,  33.947029090, -26.713866052,  1.46769003317254,-20.0660593,
2460558.781250000, , ,  33.943135368, -26.722472447,  1.46732852013120,-19.9926288,
2460558.812500000, , ,  33.939210302, -26.731057516,  1.46696837695108,-19.9146957,
2460558.843750000, , ,  33.935265811, -26.739620072,  1.46660966102890,-19.8349255,
2460558.875000000, , ,  33.931314153, -26.748159884,  1.46625238085757,-19.7560543,
2460558.906250000,A, ,  33.927367449, -26.756677683,  1.46589649570898,-19.6807825,
2460558.937500000,C, ,  33.923437213, -26.765175142,  1.46554191722007,-19.6116711,
2460558.968750000,*, ,  33.919533907, -26.773654803,  1.46518851282097,-19.5510419,
2460559.000000000,*, ,  33.915666537, -26.782119986,  1.46483611087203,-19.5008884,
2460559.031250000,*,m,  33.911842299, -26.790574659,  1.46448450731065,-19.4627984,
2460559.062500000,*,m,  33.908066304, -26.799023284,  1.46413347355091,-19.4378928,
2460559.093750000,*,m,  33.904341375, -26.807470645,  1.46378276532967,-19.4267822,
2460559.125000000,*,m,  33.900667940, -26.815921665,  1.46343213215738,-19.4295438,
2460559.156250000,*,m,  33.897044012, -26.824381212,  1.46308132700765,-19.4457180,
2460559.187500000,*,m,  33.893465264, -26.832853913,  1.46273011587110,-19.4743265,
2460559.218750000,*,m,  33.889925193, -26.841343976,  1.46237828680418,-19.5139103,
2460559.250000000,*,m,  33.886415376, -26.849855020,  1.46202565812321,-19.5625863,
2460559.281250000,*,m,  33.882925786, -26.858389942,  1.46167208542725,-19.6181197,
2460559.312500000,*,m,  33.879445186, -26.866950799,  1.46131746717855,-19.6780108,
2460559.343750000,*,m,  33.875961558, -26.875538731,  1.46096174862531,-19.7395916,
2460559.375000000,*,m,  33.872462569, -26.884153911,  1.46060492391521,-19.8001292,
2460559.406250000,*,m,  33.868936046, -26.892795541,  1.46024703631875,-19.8569307,
2460559.437500000,*,m,  33.865370449, -26.901461879,  1.45988817655365,-19.9074482,
2460559.468750000,N,m,  33.861755313, -26.910150309,  1.45952847927545,-19.9493767,
2460559.500000000, ,m,  33.858081659, -26.918857437,  1.45916811787025,-19.9807433,
2460559.531250000, ,m,  33.854342337, -26.927579220,  1.45880729775062,-19.9999834,
2460559.562500000, , ,  33.850532307, -26.936311127,  1.45844624841445,-20.0060014,
2460559.593750000, , ,  33.846648833, -26.945048309,  1.45808521457312,-19.9982124,
2460559.625000000, , ,  33.842691591, -26.953785787,  1.45772444669259,-19.9765657,
2460559.656250000, , ,  33.838662683, -26.962518645,  1.45736419131267,-19.9415458,
2460559.687500000, , ,  33.834566558, -26.971242220,  1.45700468151916,-19.8941541,
2460559.718750000, , ,  33.830409841, -26.979952280,  1.45664612793688,-19.8358700,
2460559.750000000, , ,  33.826201076, -26.988645194,  1.45628871059238,-19.7685938,
2460559.781250000, , ,  33.821950399, -26.997318064,  1.45593257196052,-19.6945730,
2460559.812500000, , ,  33.817669148, -27.005968848,  1.45557781146422,-19.6163152,
