*******************************************************************************
JPL/HORIZONS                     (2014 GL1)                2025-Sep-13 11:13:44
Rec #:50153757 (+COV) Soln.date: 2022-Aug-13_05:49:31        # obs: 25 (9 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456749.5 ! 2014-Apr-02.00 (TDB)         Residual RMS= .36609
   EC= .6475353937496579   QR= .472191642518562    TP= 2456686.0365908728
   OM= 12.46941456662354   W=  60.04088268708605   IN= 4.827734013078516
   A= 1.339685273769538    MA= 40.33882989053424   ADIST= 2.207178905020514
   PER= 1.55064            N= .635623432           ANGMOM= .015172529
   DAN= .58786             DDN= 1.14974            L= 72.4221158
   B= 4.1814248            MOID= .0147038          TP= 2014-Jan-28.5365908728
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.78                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#7, OCC=9
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Sep 13 11:13:44 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2014 GL1)                      {source: JPL#7}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250912.p251208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-12. PREDICTS-> 2025-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456749.5 ! 2014-Apr-02.00 (TDB)         Residual RMS= .36609        
   EC= .6475353937496579   QR= .472191642518562    TP= 2456686.0365908728      
   OM= 12.46941456662354   W=  60.04088268708605   IN= 4.827734013078516       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.112411916563852E+00  Y=-2.104629840325975E-01  Z=-8.969937433607350E-02
  VX=-8.127516421754046E-03 VY=-1.356127882663986E-02 VZ=-7.089842390636512E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.78                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 250.441790775, -28.890432593,  1.00084029066191,  5.4287582,
2460558.531250000, , , 250.444386955, -28.888285859,  1.00093878893148,  5.4841894,
2460558.562500000, , , 250.447047011, -28.886108384,  1.00103822193633,  5.5319615,
2460558.593750000, , , 250.449784952, -28.883905186,  1.00113843240125,  5.5700221,
2460558.625000000, , , 250.452612212, -28.881682343,  1.00123922928027,  5.5966938,
2460558.656250000, , , 250.455537206, -28.879446755,  1.00134039512942,  5.6107385,
2460558.687500000, , , 250.458565005, -28.877205880,  1.00144169449901,  5.6114055,
2460558.718750000, , , 250.461697144, -28.874967442,  1.00154288302114,  5.5984606,
2460558.750000000, , , 250.464931565, -28.872739136,  1.00164371684105,  5.5721948,
2460558.781250000, , , 250.468262689, -28.870528331,  1.00174396202841,  5.5334131,
2460558.812500000, , , 250.471681644, -28.868341782,  1.00184340360497,  5.4834036,
2460558.843750000, , , 250.475176598, -28.866185373,  1.00194185383998,  5.4238877,
2460558.875000000, , , 250.478733222, -28.864063888,  1.00203915949350,  5.3569533,
2460558.906250000,A, , 250.482335243, -28.861980829,  1.00213520772785,  5.2849748,
2460558.937500000,C, , 250.485965069, -28.859938279,  1.00222993045931,  5.2105209,
2460558.968750000,*, , 250.489604474, -28.857936824,  1.00232330698202,  5.1362554,
2460559.000000000,*, , 250.493235295, -28.855975529,  1.00241536476305,  5.0648351,
2460559.031250000,*,m, 250.496840137, -28.854051975,  1.00250617837779,  4.9988062,
2460559.062500000,*,m, 250.500403040, -28.852162356,  1.00259586662662,  4.9405069,
2460559.093750000,*,m, 250.503910099, -28.850301619,  1.00268458794416,  4.8919765,
2460559.125000000,*,m, 250.507349999, -28.848463668,  1.00277253427800,  4.8548771,
2460559.156250000,*,m, 250.510714446, -28.846641592,  1.00285992367298,  4.8304289,
2460559.187500000,*,m, 250.513998495, -28.844827935,  1.00294699184715,  4.8193637,
2460559.218750000,*,m, 250.517200733, -28.843014985,  1.00303398308444,  4.8218957,
2460559.250000000,*,m, 250.520323336, -28.841195071,  1.00312114079568,  4.8377142,
2460559.281250000,*,m, 250.523371984, -28.839360858,  1.00320869811223,  4.8659947,
2460559.312500000,*,m, 250.526355640, -28.837505630,  1.00329686887583,  4.9054312,
2460559.343750000,*,m, 250.529286206, -28.835623551,  1.00338583937252,  4.9542862,
2460559.375000000,*,m, 250.532178057, -28.833709890,  1.00347576113023,  5.0104583,
2460559.406250000,*,m, 250.535047489, -28.831761201,  1.00356674505854,  5.0715628,
2460559.437500000,*,m, 250.537912091, -28.829775458,  1.00365885715703,  5.1350242,
2460559.468750000,N,m, 250.540790059, -28.827752133,  1.00375211595846,  5.1981755,
2460559.500000000, ,m, 250.543699497, -28.825692215,  1.00384649180547,  5.2583613,
2460559.531250000, ,m, 250.546657716, -28.823598171,  1.00394190798903,  5.3130403,
2460559.562500000, , , 250.549680565, -28.821473849,  1.00403824370446,  5.3598836,
2460559.593750000, , , 250.552781820, -28.819324332,  1.00413533871102,  5.3968646,
2460559.625000000, , , 250.555972652, -28.817155739,  1.00423299951460,  5.4223371,
2460559.656250000, , , 250.559261196, -28.814974989,  1.00433100683487,  5.4350993,
2460559.687500000, , , 250.562652234, -28.812789531,  1.00442912406805,  5.4344398,
2460559.718750000, , , 250.566147020, -28.810607060,  1.00452710641842,  5.4201652,
2460559.750000000, , , 250.569743221, -28.808435217,  1.00462471034583,  5.3926075,
2460559.781250000, , , 250.573435019, -28.806281293,  1.00472170296428,  5.3526114,
2460559.812500000, , , 250.577213327, -28.804151953,  1.00481787102871,  5.3015015,
