*******************************************************************************
JPL/HORIZONS                     (2024 RO2)                2025-Sep-13 11:13:03
Rec #:50609279 (+COV) Soln.date: 2025-Mar-18_05:47:50      # obs: 110 (32 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460566.5 ! 2024-Sep-13.00 (TDB)         Residual RMS= .24158
   EC= .4474120706122279   QR= .9421650032379834   TP= 2460615.833000592
   OM= 190.7715649313436   W=  216.2617359432454   IN= 7.126453478847262
   A= 1.70500467551261     MA= 338.1599693279555   ADIST= 2.467844347787236
   PER= 2.22637            N= .44270631            ANGMOM= .0200882
   DAN= 2.13331            DDN= 1.00216            L= 46.8216338
   B= -4.20804             MOID= .00110099         TP= 2024-Nov-01.3330005920
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.87                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#15, OCC=6
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Sep 13 11:13:03 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2024 RO2)                      {source: JPL#15}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250912.p251208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-12. PREDICTS-> 2025-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460566.5 ! 2024-Sep-13.00 (TDB)         Residual RMS= .24158        
   EC= .4474120706122279   QR= .9421650032379834   TP= 2460615.833000592       
   OM= 190.7715649313436   W=  216.2617359432454   IN= 7.126453478847262       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.080429857483769E+00  Y=-1.991716002076761E-01  Z=-3.263445757594147E-02
  VX=-2.131760916811051E-03 VY= 1.822109603191328E-02 VZ= 5.324052549716015E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.87                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 332.553889681,  17.367955769,  0.15105786800055,-10.6786507,
2460558.531250000, , , 332.552966326,  17.374987975,  0.15086554383083,-10.6306226,
2460558.562500000, , , 332.551626951,  17.381915019,  0.15067418857235,-10.5716133,
2460558.593750000, , , 332.549952862,  17.388714741,  0.15048398147705,-10.5037869,
2460558.625000000, , , 332.548038913,  17.395369907,  0.15029505952212,-10.4296485,
2460558.656250000, , , 332.545989868,  17.401868905,  0.15010751210631,-10.3519479,
2460558.687500000, , , 332.543916369,  17.408206208,  0.14992137758817,-10.2735728,
2460558.718750000, , , 332.541930659,  17.414382617,  0.14973664180122,-10.1974369,
2460558.750000000, , , 332.540142233,  17.420405244,  0.14955323860391,-10.1263671,
2460558.781250000, , , 332.538653590,  17.426287262,  0.14937105244278,-10.0629941,
2460558.812500000, , , 332.537556241,  17.432047406,  0.14918992282867,-10.0096504,
2460558.843750000, , , 332.536927138,  17.437709265,  0.14900965055128, -9.9682802,
2460558.875000000, , , 332.536825668,  17.443300379,  0.14883000538957, -9.9403646,
2460558.906250000,A, , 332.537291317,  17.448851183,  0.14865073501821, -9.9268639,
2460558.937500000,C, , 332.538342102,  17.454393837,  0.14847157476361, -9.9281816,
2460558.968750000,*, , 332.539973835,  17.459960983,  0.14829225783139, -9.9441487,
2460559.000000000,*, , 332.542160245,  17.465584488,  0.14811252560944, -9.9740305,
2460559.031250000,*,m, 332.544853948,  17.471294212,  0.14793213764866,-10.0165555,
2460559.062500000,*,m, 332.547988237,  17.477116850,  0.14775088093703,-10.0699649,
2460559.093750000,*,m, 332.551479618,  17.483074895,  0.14756857811020,-10.1320802,
2460559.125000000,*,m, 332.555230997,  17.489185761,  0.14738509428386,-10.2003878,
2460559.156250000,*,m, 332.559135395,  17.495461101,  0.14720034224610,-10.2721359,
2460559.187500000,*,m, 332.563080052,  17.501906337,  0.14701428581120,-10.3444403,
2460559.218750000,*,m, 332.566950764,  17.508520437,  0.14682694120693,-10.4143961,
2460559.250000000,*,m, 332.570636279,  17.515295933,  0.14663837644248,-10.4791888,
2460559.281250000,*,m, 332.574032605,  17.522219187,  0.14644870868150,-10.5362037,
2460559.312500000,*,m, 332.577047037,  17.529270897,  0.14625809972065,-10.5831258,
2460559.343750000,*,m, 332.579601777,  17.536426819,  0.14606674974708,-10.6180297,
2460559.375000000,*,m, 332.581636977,  17.543658687,  0.14587488961369,-10.6394538,
2460559.406250000,*,m, 332.583113114,  17.550935287,  0.14568277192879,-10.6464568,
2460559.437500000,*,m, 332.584012584,  17.558223653,  0.14549066130238,-10.6386545,
2460559.468750000,N,m, 332.584340455,  17.565490338,  0.14529882412447,-10.6162345,
2460559.500000000, ,m, 332.584124343,  17.572702705,  0.14510751826989,-10.5799498,
2460559.531250000, ,m, 332.583413422,  17.579830200,  0.14491698312739,-10.5310892,
2460559.562500000, , , 332.582276585,  17.586845540,  0.14472743033931,-10.4714285,
2460559.593750000, , , 332.580799841,  17.593725794,  0.14453903561121,-10.4031613,
2460559.625000000, , , 332.579083034,  17.600453282,  0.14435193190998,-10.3288144,
2460559.656250000, , , 332.577236007,  17.607016291,  0.14416620431517,-10.2511501,
2460559.687500000, , , 332.575374381,  17.613409544,  0.14398188672448,-10.1730592,
2460559.718750000, , , 332.573615079,  17.619634434,  0.14379896054169,-10.0974489,
2460559.750000000, , , 332.572071799,  17.625698990,  0.14361735539835,-10.0271302,
2460559.781250000, , , 332.570850597,  17.631617585,  0.14343695188082, -9.9647091,
2460559.812500000, , , 332.570045760,  17.637410400,  0.14325758615618, -9.9124857,
