*******************************************************************************
JPL/HORIZONS                      (2024 SJ)                2025-Sep-13 11:12:34
Rec #:50613969 (+COV) Soln.date: 2024-Oct-27_06:20:47       # obs: 43 (35 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2460584.5 ! 2024-Oct-01.00 (TDB)         Residual RMS= .31228
   EC= .2627933631643578   QR= 1.054588847594076   TP= 2460563.4522886011
   OM= 194.5256065989044   W=  152.1746754792736   IN= 8.780030622030887
   A= 1.430520012843011    MA= 12.12461751553085   ADIST= 1.806451178091946
   PER= 1.711              N= .5760539609999999    ANGMOM= .01985131
   DAN= 1.73494            DDN= 1.08059            L= 346.9781527
   B= 4.0857622            MOID= .0685252          TP= 2024-Sep-09.9522886011
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.56                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#9, OCC=7
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Sep 13 11:12:34 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2024 SJ)                       {source: JPL#9}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Cerro Tololo Observatory, La Serena
*******************************************************************************
Start time      : A.D. 2024-Sep-05 00:00:00.0000 UT      
Stop  time      : A.D. 2024-Sep-09 23:00:00.0000 UT      
Step-size       : 45 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.1941, -30.1691165, 2.38888  {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.1941,5520.92438,-3187.79599 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250912.p251208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-SEP-12. PREDICTS-> 2025-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2460584.5 ! 2024-Oct-01.00 (TDB)         Residual RMS= .31228        
   EC= .2627933631643578   QR= 1.054588847594076   TP= 2460563.4522886011      
   OM= 194.5256065989044   W=  152.1746754792736   IN= 8.780030622030887       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.059005307832109E+00  Y= 1.308394442651586E-01  Z= 7.689288521289614E-02
  VX=-1.124766456693616E-03 VY= 1.795970042169913E-02 VZ= 4.746105245982697E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.56                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************
Date_________JDUT, , , R.A.___(ICRF), DEC____(ICRF),             delta,     deldot,
***********************************************************************************
$$SOE
2460558.500000000, ,m, 303.571984711,  45.859015029,  0.09833152151362, -3.9784327,
2460558.531250000, , , 303.616347523,  45.858177298,  0.09826017170181, -3.9271330,
2460558.562500000, , , 303.660406847,  45.856742307,  0.09818978186788, -3.8723880,
2460558.593750000, , , 303.704388066,  45.854681910,  0.09812039595436, -3.8162347,
2460558.625000000, , , 303.748523227,  45.851990491,  0.09805202053483, -3.7607636,
2460558.656250000, , , 303.793042110,  45.848685204,  0.09798462456584, -3.7080390,
2460558.687500000, , , 303.838163359,  45.844805332,  0.09791814058358, -3.6600196,
2460558.718750000, , , 303.884086058,  45.840410787,  0.09785246729900, -3.6184829,
2460558.750000000, , , 303.930982042,  45.835579808,  0.09778747349086, -3.5849574,
2460558.781250000, , , 303.978989285,  45.830405957,  0.09772300304616, -3.5606640,
2460558.812500000, , , 304.028206582,  45.824994517,  0.09765888095322, -3.5464694,
2460558.843750000, , , 304.078689754,  45.819458450,  0.09759492001627, -3.5428528,
2460558.875000000, , , 304.130449511,  45.813914055,  0.09753092803329, -3.5498879,
2460558.906250000,A, , 304.183451036,  45.808476511,  0.09746671516128, -3.5672405,
2460558.937500000,C, , 304.237615323,  45.803255464,  0.09740210118707, -3.5941812,
2460558.968750000,*, , 304.292822196,  45.798350827,  0.09733692242562, -3.6296137,
2460559.000000000,*, , 304.348914884,  45.793848965,  0.09727103798302, -3.6721170,
2460559.031250000,*,m, 304.405705999,  45.789819385,  0.09720433514570, -3.7199995,
2460559.062500000,*,m, 304.462984657,  45.786312074,  0.09713673369150, -3.7713637,
2460559.093750000,*,m, 304.520524495,  45.783355574,  0.09706818895898, -3.8241793,
2460559.125000000,*,m, 304.578092285,  45.780955872,  0.09699869355891, -3.8763597,
2460559.156250000,*,m, 304.635456799,  45.779096135,  0.09692827766320, -3.9258425,
2460559.187500000,*,m, 304.692397624,  45.777737314,  0.09685700786025, -3.9706678,
2460559.218750000,*,m, 304.748713579,  45.776819589,  0.09678498462021, -4.0090529,
2460559.250000000,*,m, 304.804230424,  45.776264603,  0.09671233846582, -4.0394610,
2460559.281250000,*,m, 304.858807562,  45.775978409,  0.09663922499410, -4.0606595,
2460559.312500000,*,m, 304.912343494,  45.775855017,  0.09656581893753, -4.0717672,
2460559.343750000,*,m, 304.964779790,  45.775780408,  0.09649230749047, -4.0722889,
2460559.375000000,*,m, 305.016103437,  45.775636880,  0.09641888315491, -4.0621336,
2460559.406250000,*,m, 305.066347454,  45.775307539,  0.09634573637853, -4.0416192,
2460559.437500000,*,m, 305.115589741,  45.774680782,  0.09627304826667, -4.0114598,
2460559.468750000,N,m, 305.163950201,  45.773654593,  0.09620098364767, -3.9727392,
2460559.500000000, ,m, 305.211586226,  45.772140481,  0.09612968475821, -3.9268691,
2460559.531250000, ,m, 305.258686724,  45.770066913,  0.09605926579166, -3.8755352,
2460559.562500000, , , 305.305464908,  45.767382093,  0.09598980852011, -3.8206329,
2460559.593750000, , , 305.352150120,  45.764055991,  0.09592135915918, -3.7641943,
2460559.625000000, , , 305.398979023,  45.760081529,  0.09585392659705, -3.7083102,
2460559.656250000, , , 305.446186481,  45.755474876,  0.09578748205633, -3.6550501,
2460559.687500000, , , 305.493996510,  45.750274845,  0.09572196020206, -3.6063826,
2460559.718750000, , , 305.542613640,  45.744541410,  0.09565726165280, -3.5640996,
2460559.750000000, , , 305.592215029,  45.738353407,  0.09559325679780, -3.5297481,
2460559.781250000, , , 305.642943636,  45.731805496,  0.09552979077263, -3.5045707,
2460559.812500000, , , 305.694902728,  45.725004530,  0.09546668940116, -3.4894579,
2460559.843750000, , , 305.748151907,  45.718065442,  0.09540376587481, -3.4849145,
